addition|сложение|[əˈdɪʃn]
algebra|алгебра|[ˈæl.dʒə.brə]
almanac|альманах|[ˈɔːl.mə.næk]
angle|угол|[ˈæŋɡl]
annotation|аннотация|[ˈæn.ə.teɪt]
approximately|приблизительно|[əˈprɒksɪmətli]
atlas|атлас|[ˈæt.ləs]
attendance|посещаемость|[əˈten.dəns]
audience|аудитория; слушатели|[ˈɔːdiəns]
auditorium|аудитория; зал|[ˌɔː.dɪˈtɔː.ri.əm]
author|автор|[ˈɔːθə(r)]
bell|звонок|[bel]
binding|переплет|[ˈbaɪn.dɪŋ]
biology|биология|[baɪˈɒlədʒi]
blackboard,  chalkboard|доска|[ˈblæk.bɔːd] [ˈtʃɔːk.bɔːd]
book|книга|[bʊk]
booklet|брошюра; буклет|[ˈbʊk.lət]
bookmark|закладка|[ˈbʊk.mɑːk]
braces|фигурные скобки|[breɪs]
brackets|скобки|[ˈbræk.ɪt]
break, recess|перемена; перерыв|[breɪk] [rɪˈses]
cafeteria|столовая|[ˌkæf.əˈtɪə.ri.ə]
chalk|мел|[tʃɔːk]
chapter|глава|[ˈtʃæptə(r)]
chemistry|химия|[ˈkemɪstri]
children's book|детская книга|[ˈtʃɪl.drəns] [bʊk]
class|класс; занятия|[klɑːs]
classroom|классная комната|[ˈklɑːsruːm]
college|колледж|[ˈkɒlɪdʒ]
common denominator|общий знаменатель|[ˈkɒmən] [dɪˈnɒm.ɪ.neɪ.tər]
computer science|информатика|[kəmˈpjuːtə(r)] [ˈsaɪəns]
contents|содержание; оглавление|[kənˈtent]
copybook, notebook|тетрадь|[ˈkɒp.i.bʊk] [ˈnəʊt.bʊk]
course|курс|[kɔːs]
cover|обложка|[ˈkʌvə(r)]
crayon|цветной карандаш|[ˈkreɪ.ɒn]
cube root|кубический корень|[kjuːb] [ruːt]
dean|декан|[diːn]
dean's office|деканат|[diːns] [ˈɒfɪs]
decimal fraction|десятичная дробь|[ˈdes.ɪ.məl] [ˈfræk.ʃən]
decimal point|десятичная точка|[ˈdes.ɪ.məl] [pɔɪnt]
degree|ученая степень|[dɪˈɡriː]
denominator|знаменатель|[dɪˈnɒm.ɪ.neɪ.tər]
department|отдел|[dɪˈpɑːtmənt]
dictionary|словарь|[ˈdɪkʃənri]
difference|разность|[ˈdɪfrəns]
diploma|диплом|[dɪˈpləʊ.mə]
