abide, abode, abode|соблюдать|[əˈbaɪd] [əˈbəʊd] [əˈbəʊd]
arise, arose, arisen|возникать|[əˈraɪz] [əˈrəʊz] [əˈrɪz(ə)n]
awake, awoke, awoken|проснуться|[əˈweɪk] [əˈwəʊk] [əˈwəʊ.kən]
backbite, backbit, backbitten|клеветать|[ˈbækbaɪt] [ˈbækbɪt] [ˈbækˌbɪtn]
be, was/were, been|быть|[bi] [wɒz] [wɜːr] [biːn]
bear, bore, born|вынашивать|[beə(r)] [bɔː(r)] [bɔːn]
beat, beat, beaten|бить|[biːt] [biːt] [ˈbiː.tən]
become, became, become|становиться|[bɪˈkʌm] [bɪˈkeɪm] [bɪˈkʌm]
befall, befell, befallen|случаться|[bɪˈfɔːl] [bɪˈfɔːl] [bɪˈfɔːl]
begin, began, begun|начинать|[bɪˈɡɪn] [bɪˈɡæn] [bɪˈɡʌn]
behold, beheld, beheld|созерцать|[bɪˈhəʊld] [bɪˈheld] [bɪˈheld]
bend, bent, bent|гнуть|[bend] [bent] [bent]
beseech, besought, besought|умолять|[bɪˈsiːtʃ] [bɪˈsɔːt] [bɪˈsɔːt]
bespeak, bespoke, bespoken|заказывать|[bɪˈspiːk] [bɪˈspəʊk] [bɪˈspiːk]
beset, beset, beset|осаждать|[bɪˈset] [bɪˈset] [bɪˈset]
bet, bet, bet|делать ставку|[bet] [bet] [bet]
bid, bid, bidden|предлагать цену|[bɪd] [bɪd] [bɪd]
bind, bound, bound|привязывать|[baɪnd] [baʊnd] [baʊnd]
bite, bit, bitten|кусать|[baɪt] [bɪt] [ˈbɪt.ən]
bleed, bled, bled|кровоточить|[bliːd] [bled] [bled]
blow, blew, blown|дуть|[bləʊ] [bluː] [bləʊn]
break, broke, broken|ломать|[breɪk] [brəʊk] [ˈbrəʊkən]
breed, bred, bred|порождать|[briːd] [bred] [bred]
bring, brought, brought|приносить|[brɪŋ] [brɔːt] [brɔːt]
broadcast, broadcast, broadcast|вещать|[ˈbrɔːdkɑːst] [ˈbrɔːdkɑːst] [ˈbrɔːdkɑːst]
build, built, built|строить|[bɪld] [bɪlt] [bɪlt]
burn, burnt, burnt|гореть|[bɜːn] [bɜːnt] [bɜːnt]
burst, burst, burst|взрывать|[bɜːst] [bɜːst] [bɜːst]
buy, bought, bought|покупать|[baɪ] [bɔːt] [bɔːt]
can, could, could|мочь|[kæn] [kəd] [kəd]
cast, cast, cast|бросать|[kɑːst] [kɑːst] [kɑːst]
catch, caught, caught|поймать|[kætʃ] [kɔːt] [kɔːt]
choose, chose, chosen|выбирать|[tʃuːz] [tʃəʊz] [ˈtʃəʊ.zən]
cling, clung, clung|цепляться|[klɪŋ] [klʌŋ] [klʌŋ]
cleave, cleft, cloven|рассечь|[kliːv] [kleft] [ˈkləʊ.vən]
clothe, clothed, clothed|одеть|[kləʊð] [kləʊðd] [kləʊðd]
come, came, come|приходить|[kʌm] [keɪm] [kʌm]
cost, cost, cost|оценивать|[kɒst] [kɒst] [kɒst]
creep, crept, crept|ползать|[kriːp] [krept] [krept]
cut, cut, cut|резать|[kʌt] [kʌt] [kʌt]
dare, durst, dared|сметь|[deə(r)] [dɜːst] [deər]
deal, dealt, dealt|иметь дело|[diːl] [delt] [delt]
dig, dug, dug|копать|[dɪɡ] [dʌɡ] [dʌɡ]
dive, dove, dived|нырять|[daɪv] [dʌv] [daɪv]
do/does, did, done|делать|[du] [dʌz] [dɪd] [dʌn]
draw, drew, drawn|рисовать|[drɔː] [druː] [drɔːn]
dream, dreamt, dreamt|мечтать|[driːm] [dremt] [dremt]
drink, drank, drunk|пить|[drɪŋk] [dræŋk] [drʌŋk]
drive, drove, driven|водить|[draɪv] [drəʊv] [ˈdrɪv.ən]
dwell, dwelt, dwelt|обитать|[dwel] [dwelt] [dwelt]
eat, ate, eaten|кушать|[iːt] [et] [ˈiːt(ə)n]
unwind, unwound, unwound|обвивать|[ʌnˈwaɪnd] [ʌnˈwaʊnd] [ʌnˈwaʊnd]
fall, fell, fallen|падать|[fɔːl] [fel] [ˈfɔː.lən]
feed, fed, fed|кормить|[fiːd] [fed] [fed]
feel, felt, felt|чувствовать|[fiːl] [felt] [felt]
fight, fought, fought|бороться|[faɪt] [fɔːt] [fɔːt]
find, found, found|находить|[faɪnd] [faʊnd] [faʊnd]
fit, fit, fit|подходить|[fɪt] [fɪt] [fɪt]
flee, fled, fled|пропадать|[fliː] [fled] [fled]
fling, flung, flung|кидать|[flɪŋ] [flʌŋ] [flʌŋ]
fly, flew, flown|летать|[flaɪ] [fluː] [fləʊn]
forbid, forbade, forbidden|запрещать|[fəˈbɪd] [fə(r)ˈbæd] [fəˈbɪd.ən]
forget, forgot, forgotten|забывать|[fəˈɡet] [fə(r)ˈɡɒt] [fə(r)ˈɡɒt(ə)n]
forego, forewent, foregone|предшествовать|[fɔːˈgəʊ] [fɔːˈwɛnt] [fɔːˈgɒn]
foretell, foretold, foretold|предсказывать|[fɔːˈtɛl] [fɔːˈtəʊld] [fɔːˈtəʊld]
forgive, forgave, forgiven|прощать|[fəˈgɪv] [fəˈgeɪv] [fəˈgɪvn]
forgo, forwent,	forgone|отказываться|[fɔːˈgəʊ] [fɔːˈwɛnt] [fɔːˈgɒn]
forsake, forsook, forsaken|оставлять|[fəˈseɪk] [fəˈsʊk] [fəˈseɪkən]
freeze, froze, frozen|замерзать|[friːz] [frəʊz] [ˈfrəʊzn]
get, got, got|получать|[gɛt] [gɒt] [gɒt]
gild, gilt, gilded|украшать|[gɪld] [gɪlt] [ˈgɪldɪd]
give, gave, given|давать|[gɪv] [geɪv] [ˈgɪvn]
go/goes, went, gone|идти|[gəʊ/gəʊz] [wɛnt] [gɒn]
grind, ground, ground|молоть|[graɪnd] [graʊnd] [graʊnd]
grow, grew, grown|выращивать|[grəʊ] [gruː] [grəʊn]
hang, hung, hung|вешать|[hæŋ] [hʌŋ] [hʌŋ]
have, had, had|иметь|[hæv] [hæd] [hæd]
hew, hewed, hewn|рубить|[hjuː] [hjuːd] [hjuːn]
hear, heard, heard|слышать|[hɪə] [hɜːd] [hɜːd]
hide, hid, hidden|скрывать|[haɪd] [hɪd] [ˈhɪdn]
hit, hit, hit|ударять|[hɪt] [hɪt] [hɪt]
hold, held, held|держать|[həʊld] [hɛld] [hɛld]
hurt, hurt, hurt|причинить боль|[hɜːt] [hɜːt] [hɜːt]
inlay, inlaid, inlaid|выстилать|[ˈɪnleɪ] [ɪnˈleɪd] [ɪnˈleɪd]
interbreed, interbred, interbred|скрещивать|[ˌɪn.təˈbriːd] [ˌɪn.təˈbreːd] [ˌɪn.təˈbreːd]
keep, kept, kept|держать|[kiːp] [kɛpt] [kɛpt]
kneel, knelt, kneeled|преклонять|[niːl] [nɛlt] [niːld]
knit, knitted, knit|вязать|[nɪt] [nɪtɪd] [nɪt]
know, knew, known|знать|[nəʊ] [njuː] [nəʊn]
lay, laid, laid|уложить|[leɪ] [leɪd] [leɪd]
lead, led, led|вести|[liːd] [led] [led]
lean, leant, leaned|опираться|[liːn] [lent] [liːn]
